movie_name,release_year
Harold and Maude,1971
Venus,2006
The Quiet American,2002
The Big Lebowski,1998
Beginners,2010
Poison Ivy,1992
Whatever Works,2009
Entrapment,1999
Husbands and Wives,1992
Magnolia,1999
Indiana Jones and the Last Crusade,1989
Mr. Peabody and the Mermaid,1948
First Knight,1995
Something's Gotta Give,2003
Eternal Sunshine of the Spotless Mind,2004
Lost in Translation,2003
Shopgirl,2005
Wild Target,2010
"Fort Apache, The Bronx",1981
Hollywood Ending,2002
The Mother,2003
Daddy Long Legs,1955
Lolita,1997
Mighty Aphrodite,1995
Stone,2010
The Private Lives of Pippa Lee,2009
Third Person,2013
Elegy,2008
Mighty Aphrodite,1995
A View to a Kill,1985
Enemy of the State,1998
For Your Eyes Only,1981
Funny Face,1957
Houseboat,1958
Kindergarten Cop 2,2016
Sabrina,1954
The Quiet American,1958
A Single Man,2009
A View to a Kill,1985
Arbitrage,2012
Bulworth,1998
Mank,2020
Sense and Sensibility,1995
The Departed,2006
The Man Who Wasn't There,2001
A Perfect Murder,1998
A View to a Kill,1985
Beat the Devil,1953
Café Society,2016
Crazy Heart,2009
Gangster Squad,2013
High Noon,1952
Last Tango in Paris,1972
Love in the Afternoon,1957
Magic in the Moonlight,2014
Freeheld,2015
"Six Days, Seven Nights",1998
Tadpole,2002
The Oranges,2012
The Squid and the Whale,2005
You Should Have Left,2020
As Good as It Gets,1997
Behind the Candelabra,2013
Black Mass,2015
Die Another Day,2002
High Society,1956
I Love Trouble,1994
Indecent Proposal,1993
Manhattan,1979
Phantom Thread,2017
The Color of Money,1986
Amelia,2009
Charade,1963
Chloe,2009
Dark Passage,1947
I Married a Witch,1942
Key Largo,1948
Knock Knock,2015
Love Actually,2003
Rumor Has It...,2005
Seabiscuit,2003
Spun,2002
State of the Union,1948
The Big Sleep,1946
The Misfits,1961
To Catch a Thief,1955
To Have and Have Not,1944
Vertigo,1958
World's Greatest Dad,2009
15 Minutes,2001
American Gangster,2007
Beyond the Sea,2004
Cleaner,2007
Dark Shadows,2012
Halloween III: Season of the Witch,1982
In a Lonely Place,1950
Indiana Jones and the Last Crusade,1989
Knock Knock,2015
Live and Let Die,1973
Moonraker,1979
Rio Bravo,1959
Surrogates,2009
The Horse Whisperer,1998
The Wrong Man,1956
A Walk in the Woods,2015
En kongelig affaere,2012
Flight,2012
Hobbs & Shaw,2019
Moonraker,1979
Octopussy,1983
Sabrina,1995
Seeking a Friend for the End of the World,2012
The Details,2011
The Duchess,2008
The First Wives Club,1996
The Man with the Golden Gun,1974
The Rum Diary,2011
Autumn in New York,2000
Dial M for Murder,1954
Focus,2015
Live and Let Die,1973
Live and Let Die,1973
Luci del varietà,1951
The Mummy,2017
The Other Woman,2014
The Prom,2020
The Royal Tenenbaums,2001
Up Close & Personal,1996
A View to a Kill,1985
Blame,2017
Bugsy,1991
Deja Vu,2006
Don Jon,2013
Edge of Tomorrow,2014
For Your Eyes Only,1981
Heat,1995
Husbands and Wives,1992
It's Complicated,2009
Just Go with It,2011
King Arthur,2004
Licence to Kill,1989
Modern Times,1936
My Cousin Vinny,1992
My Fair Lady,1964
Rear Window,1954
Richard III,1995
Teacher's Pet,1958
The Bubble,2022
The Great Dictator,1940
The Royal Tenenbaums,2001
The Verdict,1982
Tomorrow Never Dies,1997
